20:59:26    0 ****************************************************
20:59:26    0 ** Dragonfly version 4.4 **
20:59:27    0 GameManager::run(): Can't keep up! frame_time 33 ms, split 226 ms
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/saucer-spr.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/ship-spr.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/ak47_bullet.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/awp_bullet.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/grenade_bullet.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/explosion-spr.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/nuke.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/gamestart-spr.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/gameover-spr.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/character-walk.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/character-duck.txt'
20:59:28   32 ResourceManager::loadSprite(): Loading sprite 'sprites/platform.txt'
20:59:29   32 Pause::Pause(): Pause enabled.  Press any other key to resume.
20:59:29    0 GameManager::run(): Can't keep up! frame_time 33 ms, split 150 ms
20:59:29    1 GameManager::run(): Can't keep up! frame_time 33 ms, split 52 ms
20:59:29    2 GameManager::run(): Can't keep up! frame_time 33 ms, split 54 ms
20:59:29    3 GameManager::run(): Can't keep up! frame_time 33 ms, split 57 ms
20:59:29    4 GameManager::run(): Can't keep up! frame_time 33 ms, split 65 ms
20:59:29    5 GameManager::run(): Can't keep up! frame_time 33 ms, split 67 ms
20:59:29    6 GameManager::run(): Can't keep up! frame_time 33 ms, split 61 ms
20:59:30    7 GameManager::run(): Can't keep up! frame_time 33 ms, split 60 ms
20:59:30    8 GameManager::run(): Can't keep up! frame_time 33 ms, split 60 ms
20:59:30    9 GameManager::run(): Can't keep up! frame_time 33 ms, split 56 ms
20:59:30   10 GameManager::run(): Can't keep up! frame_time 33 ms, split 52 ms
20:59:30   11 GameManager::run(): Can't keep up! frame_time 33 ms, split 63 ms
20:59:30   12 GameManager::run(): Can't keep up! frame_time 33 ms, split 55 ms
20:59:30   13 GameManager::run(): Can't keep up! frame_time 33 ms, split 62 ms
21:00:01  947 GameManager::run(): Can't keep up! frame_time 33 ms, split 70 ms
21:00:01  948 GameManager::run(): Can't keep up! frame_time 33 ms, split 40 ms
21:00:20 1544 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:00:21 1563 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:00:22 1575 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:00:22 1580 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:00:53 2529 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:01:09 3006 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:13 3135 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:17 3253 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:21 3370 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:22 3400 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:23 3420 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:26 3535 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:29 3622 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:01:30 3641 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:30 3647 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:31 3669 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:33 3751 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:36 3813 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:37 3844 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:37 3845 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:37 3846 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:37 3847 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:37 3862 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:01:37 3863 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:38 3881 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:38 3893 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:40 3954 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:43 4053 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:01:45 4085 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:45 4097 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:45 4103 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:45 4109 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:46 4115 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:46 4116 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:01:46 4122 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:01:46 4128 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:47 4152 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:01:49 4208 GameManager::run(): Can't keep up! frame_time 33 ms, split 38 ms
21:01:50 4251 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:01:53 4337 GameManager::run(): Can't keep up! frame_time 33 ms, split 37 ms
21:01:53 4355 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:54 4368 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:54 4380 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:55 4410 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:01:55 4415 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:56 4416 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:01:56 4429 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:56 4443 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:01:57 4465 GameManager::run(): Can't keep up! frame_time 33 ms, split 36 ms
21:01:57 4471 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:58 4483 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:58 4496 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:58 4502 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:01:59 4508 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:01:59 4530 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:00 4551 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:00 4561 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:01 4566 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:01 4582 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:01 4585 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:01 4588 GameManager::run(): Can't keep up! frame_time 33 ms, split 35 ms
21:02:03 4628 GameManager::run(): Can't keep up! frame_time 33 ms, split 34 ms
21:02:03 4631 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:03 4647 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
21:02:03 4653 GameManager::run(): Can't keep up! frame_time 33 ms, split 33 ms
